,price,address,beds,reception,bathrooms,contact_number
74,"£304,995","""Duco"" at Talbot Road, Stretford, Manchester M32",3,2,2,
75,"£140,000","Ordsall Lane, Salford M5",2,1,1,
76,"£190,000","Inchfield Road, Moston, Manchester, Greater Manchester M40",3,2,1,
77,"£300,000F","Folly Lane, Swinton, Manchester M27",3,1,1,
78,"£310,000","Olympia Trading Estate, Great Jackson Street, Manchester M15",2,1,1,
79,"£241,995","""The Windsor"" at Blossom Way, Salford M6",3,2,2,
80,"£195,995","""Type K Apartment First Floor"" at Talbot Road, Stretford, Manchester M32",2,1,2,
81,"£240,000","Doncaster Avenue, Manchester, Greater Manchester, Uk M20",3,2,1,
82,"£250,000","Advent Way, Manchester M4",2,1,2,
83,"£550,000","Butt Hill Avenue, Prestwich, Prestwich Manchester M25",4,2,2,
84,"£220,000","Kilcoby Avenue, Swinton, Manchester M27",4,2,3,
85,"£280,000","Slade Lane, Longsight, Manchester M13",3,2,2,
86,"£350,000","Winster Avenue, Stretford, Manchester M32",4,2,2,
87,"£100,000","Water Street, Manchester M9",3,2,1,
88,"£180,000","Bolton Road, Salford M6",3,2,1,
89,"£290,000","Leach Mews, Prestwich, Prestwich Manchester M25",4,2,2,
90,"£90,000","Ventnor Street, Salford, Greater Manchester M6",2,2,1,
91,"£220,000","Calder Lane, Eccles, Manchester M30",3,1,2,
92,"£130,000","New Herbert Street, Salford M6",2,2,1,
93,"£145,000","Claremont Road, Salford, Greater Manchester M6",3,2,1,
94,"£320,000","Peveril Crescent, Chorlton Cum Hardy, Greater Manchester M21",3,1,1,
95,"£145,591","Carnaby Street, Worrall Street, Salford M5",1,1,1,
96,"£206,825","Carnaby Street, Worrall Street, Salford M5",2,1,1,
97,"£261,927","Carnaby Street, Worrall Street, Salford M5",3,1,1,
98,"£230,000","Russell Road, Salford M6",3,2,1,
99,"£3,000,000","Investment, Hmo Portfolio For Sale, Manchester M32",6,,2,
100,"£160,000","Yew Tree Avenue, Fallowfield, Manchester, Greater Manchester M14",3,2,1,
101,"£1,350,000","Chatsworth Road, Worsley M28",4,,,
102,"£230,000","Manchester Road, Red House M27",2,,,
103,"£850,000","Chatsworth Road, Eccles M30",5,,,
104,"£3,500,000","Chatsworth Road, Worsley M28",5,,,
105,"£225,000","Chorlton Brook, 18 Chorlton Brook M30",2,,,
106,"£1,000,000","Chatsworth Road, Worsley M28",4,,,
107,"£255,000","Brookfield, Prestwich, Manchester, Greater Manchester M25",3,1,1,
108,"£170,000","Greengate East, Manchester M40",3,1,1,
109,"£1,800,000","Crown Street, Manchester M15",3,1,1,
110,"£140,000","12 Whitelow Road, Manchester M21",1,1,1,
111,"£215,000","Beastow Road, Manchester M12",3,1,1,
112,"£165,000","Bishops Corner, Manchester M15",2,1,1,
113,"£120,000","Kenwyn Street, Manchester M40",2,2,1,
114,"£219,950","Alan Road, Withington, Manchester M20",2,1,2,
115,"£260,000","Newton Road, Failsworth, Manchester M35",4,1,1,
116,"£251,995","""The Portland"" at Edge Lane, Droylsden, Manchester M43",3,2,2,
117,"£251,995","""The Portland"" at Edge Lane, Droylsden, Manchester M43",3,2,2,
118,"£220,000","Marlborough Road, Stretford, Manchester M32",3,2,1,
119,"£300,000","Murray's Mills, Manchester M4",2,1,2,
120,"£225,000","Belmont Street, Monton, Manchester M30",2,2,1,
121,"£199,950","X1 Media City Tower 2, Michigan Avenue, Salford, Greater Manchester M50",2,1,2,
122,"£245,234","Water Street, Manchester M3",2,1,2,
123,"£235,000","Water Street, Manchester M3",2,1,2,
124,"£450,000","Castlefield Avenue, Salford M7",4,2,1,
125,"£199,995","Number One Pink, Media City, Salford M50",2,1,2,
126,"£150,000","Shakespeare Crescent, Eccles, Manchester M30",3,2,2,
127,"£250,000","Gloucester Road, Salford M6",3,2,2,
128,"£295,000","Atherstone Avenue, Crumpsall, Manchester M8",6,3,2,
129,"£1,263,158","Crown Street, Manchester M15",3,1,1,
130,"£1,368,421","Crown Street, Manchester M15",3,1,1,
131,"£527,139","Embankment West, Manchester M3",3,1,1,
132,"£608,907","Crown Street, Manchester M15",2,1,1,
133,"£240,000","Larks Rise, Manchester M43",3,1,1,
134,"£129,950","Lumb Lane, Droylsden, Manchester M43",2,1,1,
135,"£385,000","Axis Tower, Whitworth Street West, Manchester M1",2,1,1,
136,"£279,950","Middleton Road, Crumpsall, Manchester M8",3,3,2,
137,"£4,000","Demesne Road, Whalley Range, Manchester M16",1,1,,
138,"£145,000","Claremont Road, Salford, Greater Manchester M6",3,2,1,
139,"£324,950","Store Street, Manchester M1",2,,2,
140,"£66,500","Jersey Street, Manchester M4",2,,,
141,"£190,000","Jersey Street, Manchester M4",2,,,
142,"£325,000","Borrowdale Crescent, West Didsbury, Didsbury, Manchester M20",3,2,1,
143,"£200,000","Hornbeam Way, Manchester, Greater Manchester M4",2,1,1,
144,"£220,000","Edgeware Avenue, Manchester M25",3,1,1,
145,"£260,000","The Wentwood, Newton Street, Manchester M1",2,1,2,
146,"£175,000","115 Great Clowes Street, Salford, Greater Manchester M7",3,,,
147,"£145,000","Barton Place, Hornbeam Way, Manchester M4",1,1,1,
148,"£235,000","Castleway, Salford M6",3,2,1,
149,"£420,000","Wellington Street East, Salford M7",4,,1,
150,"£200,000","Oakwood Drive, Salford M6",3,2,1,
